,300,500,550,600
20.8652,7249.8461,7805.8072,6655.4658,5900.9168
20.8912,9007.8991,5696.9558,4680.3517,3747.9558
20.9172,7540.2893,3606.302,2676.2683,2131.0694
20.9432,5604.3483,2065.5396,1627.2927,1370.8565
20.9692,3565.7135,1345.7114,1221.4104,1193.7259
20.9952,1965.8857,1180.3909,1186.2831,1134.6453
21.0212,1361.3383,1101.7717,1086.5387,1066.9081
21.0472,1233.2358,1072.4717,1032.3773,984.6603
21.0732,1156.606,1028.7989,997.1685,1009.2935
21.0992,1037.2608,1025.3949,973.7365,1031.1581
21.1252,1048.9354,946.6487,1024.7407,991.0646
21.1512,1027.3201,946.0166,1025.1601,1013.4232
21.1772,993.7312,1018.0731,1010.9325,1014.2655
21.2032,1036.644,997.5908,998.5947,1016.5114
21.2292,971.0859,974.5779,1002.8492,1021.1407
21.2552,1011.586,981.851,1010.2219,1024.8146
21.2812,994.4396,997.7932,1014.0812,1001.0261
21.3072,960.0079,1003,973.2884,988.6324
21.3332,1032.1695,984.1315,976.9117,994.0649
21.3592,1028.8349,1022.8046,1040.4522,1054.7639
21.3852,979.8767,1063.3508,1089.8911,1096.4266
21.4112,1046.8017,1113.867,1123.8997,1153.8845
21.4372,1055.8514,1177.5879,1199.4186,1237.1741
21.4632,1097.4263,1241.5771,1337.1306,1362.0152
21.4892,1157.7306,1360.6085,1468.6492,1574.0426
21.5152,1210.6828,1537.2572,1673.7754,1922.2293
21.5412,1305.5561,1880.9288,2072.6812,2471.8281
21.5672,1489.7903,2458.7566,2728.9677,3212.597
21.5932,1789.8521,3208.9158,3723.6185,4212.8495
21.6192,2202.0344,4327.4204,4765.5286,4987.7531
21.6452,2647.5603,5095.0998,5394.0527,5708.436
21.6712,3115.9873,5602.3421,6230.1185,6529.5613
21.6972,3947.9726,6378.0922,6840.3564,6578.2812
21.7232,5228.0078,6427.4476,6096.3897,5400.855
21.7492,6521.9298,5314.8394,4588.1731,3922.4061
21.7752,6954.0297,3930.9068,3192.8445,2703.7653
21.8012,6033.9446,2683.9084,2076.1086,1710.8098
21.8272,4539.1239,1700.6352,1411.2151,1192.3693
