#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.129000000000000E+00  -.133611090044099E+01  0.277003800808247E-02  -.748437649517105E+00  0.155166815505960E-02
     0.130000000000000E+00  -.133613120063480E+01  0.279164233646332E-02  -.748426228031443E+00  0.156372244200231E-02
     0.131000000000000E+00  -.133615165853435E+01  0.281324971747780E-02  -.748414718162894E+00  0.157577733109842E-02
     0.132000000000000E+00  -.133617227416160E+01  0.283486017513863E-02  -.748403119907133E+00  0.158783282709969E-02
     0.133000000000000E+00  -.133619304753869E+01  0.285647373347089E-02  -.748391433259816E+00  0.159988893476067E-02
     0.134000000000000E+00  -.133621397868792E+01  0.287809041651207E-02  -.748379658216555E+00  0.161194565883875E-02
     0.135000000000000E+00  -.133623506763177E+01  0.289971024831220E-02  -.748367794772929E+00  0.162400300409409E-02
     0.136000000000000E+00  -.133625631439289E+01  0.292133325293391E-02  -.748355842924494E+00  0.163606097528974E-02
     0.137000000000000E+00  -.133627771899410E+01  0.294295945445257E-02  -.748343802666758E+00  0.164811957719161E-02
     0.138000000000000E+00  -.133629928145840E+01  0.296458887695636E-02  -.748331673995202E+00  0.166017881456847E-02
     0.139000000000000E+00  -.133632100180896E+01  0.298622154454639E-02  -.748319456905271E+00  0.167223869219204E-02
     0.140000000000000E+00  -.133634288006911E+01  0.300785748133676E-02  -.748307151392382E+00  0.168429921483697E-02
     0.141000000000000E+00  -.133636491626238E+01  0.302949671145477E-02  -.748294757451901E+00  0.169636038728084E-02
     0.142000000000000E+00  -.133638711041243E+01  0.305113925904082E-02  -.748282275079187E+00  0.170842221430427E-02
     0.143000000000000E+00  -.133640946254314E+01  0.307278514824872E-02  -.748269704269536E+00  0.172048470069080E-02
     0.144000000000000E+00  -.133643197267853E+01  0.309443440324568E-02  -.748257045018230E+00  0.173254785122708E-02
     0.145000000000000E+00  -.133645464084282E+01  0.311608704821238E-02  -.748244297320511E+00  0.174461167070274E-02
     0.146000000000000E+00  -.133647746706037E+01  0.313774310734321E-02  -.748231461171583E+00  0.175667616391053E-02
     0.147000000000000E+00  -.133650045135575E+01  0.315940260484619E-02  -.748218536566615E+00  0.176874133564625E-02
     0.148000000000000E+00  -.133652359375366E+01  0.318106556494318E-02  -.748205523500756E+00  0.178080719070884E-02
     0.149000000000000E+00  -.133654689427902E+01  0.320273201187002E-02  -.748192421969102E+00  0.179287373390040E-02
     0.150000000000000E+00  -.133657035295688E+01  0.322440196987649E-02  -.748179231966728E+00  0.180494097002615E-02
