Temperature,Order_Parameter,Free_Energy
403.3444816053512,2.0,-306.6220735785953
404.3478260869565,2.0,-302.608695652174
405.3511705685619,2.0,-298.59531772575247
406.3545150501672,2.0,-294.58193979933117
407.3578595317726,2.0,-290.56856187290964
408.3612040133779,2.0,-286.55518394648834
409.3645484949833,2.0,-282.5418060200668
410.3678929765886,2.0,-278.5284280936455
411.37123745819395,2.0,-274.5150501672242
412.3745819397993,2.0,-270.5016722408027
413.3779264214047,2.0,-266.48829431438116
414.38127090301003,2.0,-262.47491638795987
415.38461538461536,2.0,-258.46153846153857
416.38795986622074,2.0,-254.44816053511704
417.3913043478261,2.0,-250.4347826086955
418.39464882943145,2.0,-246.42140468227421
419.39799331103677,2.0,-242.40802675585292
420.40133779264215,2.0,-238.3946488294314
421.4046822742475,2.0,-234.3812709030101
422.40802675585286,2.0,-230.36789297658856
423.4113712374582,2.0,-226.35451505016727
424.41471571906357,2.0,-222.34113712374574
425.4180602006689,2.0,-218.32775919732444
426.4214046822742,2.0,-214.31438127090314
427.4247491638796,2.0,-210.30100334448161
428.428093645485,2.0,-206.2876254180601
429.4314381270903,2.0,-202.2742474916388
430.4347826086956,2.0,-198.2608695652175
431.438127090301,2.0,-194.24749163879596
432.4414715719064,2.0,-190.23411371237444
433.4448160535117,2.0,-186.22073578595314
434.44816053511704,2.0,-182.20735785953184
435.4515050167224,2.0,-178.1939799331103
436.45484949832775,2.0,-174.180602006689
437.45819397993307,2.0,-170.16722408026772
438.46153846153845,2.0,-166.1538461538462
439.46488294314383,2.0,-162.14046822742466
440.46822742474916,2.0,-158.12709030100336
441.4715719063545,2.0,-154.11371237458206
442.47491638795987,2.0,-150.10033444816054
443.47826086956525,2.0,-146.086956521739
444.4816053511706,1.9953538302403817,-142.07804542738526
445.4849498327759,1.9855743033724094,-138.10279414399216
446.4882943143813,1.975655728101963,-134.16678355440752
447.49163879598666,1.9655935826858242,-130.27037760641454
448.494983277592,1.9553829357283714,-126.41395056653826
449.4983277591973,1.9450186104576705,-122.5978875170741
450.5016722408027,1.9344951108367012,-118.82258488729917
451.505016722408,1.9238066997181233,-115.08845102194397
452.50836120401334,1.9129472482660839,-111.39590679035311
453.5117056856187,1.901910293498795,-107.74538624016164
454.5150501672241,1.8906889378426124,-104.13733729975695
455.5183946488294,1.8792759349601564,-100.5722225343091
456.52173913043475,1.8676635363482637,-97.05051996074054
457.52508361204013,1.85584340910859,-93.57272392767933
458.5284280936455,1.8438068519196145,-90.13934606721122
459.53177257525084,1.8315444213232859,-86.75091632614593
460.53511705685617,1.8190460720795407,-83.40798408554596
461.53846153846155,1.8063010242864324,-80.11111937847882
462.54180602006693,1.7932977128084644,-76.8609142173559
463.54515050167225,1.7800236991276839,-73.65798404387496
464.5484949832776,1.7664656141250055,-70.50296931652323
465.55183946488296,1.7526089717611675,-67.39653725289227
466.5551839464883,1.7384381229779733,-64.3393837467741
467.5585284280936,1.7239360729770299,-61.332235483248894
